Id,PostureId,ClothesId,Name,Remark,Resources,,,,,,,,,,,,,,
long,long,long,str,str,str,,,,,,,,,,,,,,
id,姿势id,服装id,名称,备注,资源,,,,,,,,,,,,,,
200000,100000,100000,Character200000Name,姿势0+服装0,Char100000C100000,,,,,,,,,,,,,,
200001,100000,100001,Character200001Name,姿势0+服装1,Char100000C100001,,,,,,,,,,,,,,
200002,100001,100000,Character200002Name,姿势1+服装0,Char100001C100000,,,,,,,,,,,,,,
200003,100001,100001,Character200003Name,姿势1+服装1,Cha100001C100001,,,,,,,,,,,,,,
200004,100002,100002,Character200004Name,姿势2+服装2,Char100002C100002,,,,,,,,,,,,,,
200005,100003,100003,Character200005Name,姿势3+服装3,Char100003C100003,,,,,,,,,,,,,,
200006,100004,100004,Character200006Name,姿势4+服装4,Char100004C100004,,,,,,,,,,,,,,
200007,100005,100005,Character200007Name,姿势5+服装5,Char100005C100005,,,,,,,,,,,,,,
